Tip_ID,Phylum,Ecoli_Reference,EF_Tu_Identity,SecY_Identity,MuA_Identity,IS621_Identity,IS911_Identity
Desulfonema_limicola,Desulfobacterota,FALSE,76.8,59.2,NA,29.8,NA
4572_123_sp963667755,Desulfobacterota,FALSE,77.0,53.7,NA,33.3,NA
Adiutrix_intracellularis,Desulfobacterota,FALSE,75.4,NA,NA,NA,NA
JADFWK01_sp020351915,Desulfobacterota,FALSE,74.1,54.6,NA,24.8,NA
Anaeromyxobacter_dehalogenans,Myxococcota,FALSE,78.0,52.0,NA,NA,NA
Persicimonas_caeni,Myxococcota,FALSE,74.0,49.9,NA,28.0,NA
G023898405_sp023898405,Myxococcota,FALSE,76.5,46.5,NA,NA,NA
Urbifossiella_limnaea,Planctomycetota,FALSE,58.8,40.5,NA,38.3,NA
G020350405_sp020344865,Planctomycetota,FALSE,68.7,37.9,NA,NA,NA
Anaerohalosphaera_lusitana,Planctomycetota,FALSE,70.9,38.6,NA,31.0,NA
CATQHW01_sp963662775,Spirochaetota,FALSE,71.1,41.5,NA,NA,NA
Borreliella_garinii,Spirochaetota,FALSE,64.4,36.0,NA,NA,NA
Brachyspira_hyodysenteriae,Spirochaetota,FALSE,62.3,46.5,NA,NA,NA
Luteolibacter_sp017798145,Verrucomicrobiota,FALSE,74.0,39.0,NA,51.2,NA
G951813855_sp951813855,Verrucomicrobiota,FALSE,66.1,41.9,NA,NA,NA
Ruficoccus_sp019603315,Verrucomicrobiota,FALSE,66.8,42.8,NA,NA,29.8
Campylobacter_D_jejuni,Campylobacterota,FALSE,73.1,41.3,NA,NA,NA
Aliarcobacter_butzleri,Campylobacterota,FALSE,72.3,40.7,NA,NA,NA
Desulfurella_acetivorans,Campylobacterota,FALSE,73.9,52.4,NA,NA,NA
Archaeoglobus_fulgidus,Halobacteriota,FALSE,33.6,23.3,NA,NA,NA
EX4572_44_sp905171695,Halobacteriota,FALSE,33.4,22.6,NA,NA,NA
Haladaptatus_pallidirubidus,Halobacteriota,FALSE,36.1,21.3,NA,NA,NA
Abditibacterium_sp023169805,Armatimonadota,FALSE,74.9,41.6,NA,44.3,NA
CP070648_sp020354555,Armatimonadota,FALSE,74.3,45.0,NA,NA,NA
Capsulimonas_corticalis,Armatimonadota,FALSE,75.8,42.9,NA,NA,NA
SHUM01_sp963662495,Acidobacteriota,FALSE,72.6,48.5,NA,23.7,NA
G963664115_sp963664115,Acidobacteriota,FALSE,76.3,52.1,NA,38.3,NA
Sulfidibacter_corallicola,Acidobacteriota,FALSE,77.4,39.4,NA,33.8,NA
Microcoleus_vaginatus_A,Cyanobacteriota,FALSE,67.9,43.5,NA,NA,NA
Trichocoleus_desertorum_B,Cyanobacteriota,FALSE,70.1,44.9,NA,32.4,NA
Chamaesiphon_minutus,Cyanobacteriota,FALSE,68.9,45.0,NA,NA,NA
Salinibacter_ruber,Bacteroidota_A,FALSE,71.3,43.3,NA,40.0,NA
Ch128a_sp013348845,Bacteroidota_A,FALSE,68.4,42.7,NA,NA,NA
Balneola_sp001650905,Bacteroidota_A,FALSE,75.6,41.8,36.0,NA,NA
DYQY01_sp028706105,Margulisbacteria,FALSE,73.4,44.8,NA,NA,NA
GCA_2690645_sp038120575,Margulisbacteria,FALSE,78.0,40.1,NA,NA,NA
CAIWAN01_sp903910705,Margulisbacteria,FALSE,74.6,NA,NA,NA,NA
Aeropyrum_camini,Thermoproteota,FALSE,32.0,22.7,NA,NA,NA
GCA_020344715_sp020344715,Thermoproteota,FALSE,34.7,22.1,NA,NA,NA
JADGNF01_sp041447175,Thermoproteota,FALSE,30.2,20.1,NA,NA,NA
Aciduliprofundum_boonei,Thermoplasmatota,FALSE,33.6,26.1,NA,NA,NA
SG8_52_3_sp020350365,Thermoplasmatota,FALSE,32.7,22.4,NA,NA,NA
GCA_020348445_sp020348445,Thermoplasmatota,FALSE,31.5,22.5,NA,29.1,NA
BMS3Bbin05_sp020351835,Nitrospirota,FALSE,76.9,53.0,NA,NA,NA
Dissulfurispira_thermophila,Nitrospirota,FALSE,77.1,55.0,51.1,30.5,NA
JADFXG01_sp004376055,Nitrospirota,FALSE,76.7,54.2,NA,NA,NA
Cloacimonas_acidaminivorans,Cloacimonadota,FALSE,72.8,48.4,NA,NA,NA
DAONDQ01_sp963662275,Cloacimonadota,FALSE,72.8,49.5,34.7,25.7,24.3
Desulfohalobium_retbaense,Desulfobacterota_I,FALSE,73.6,52.3,NA,26.1,NA
Desulfomicrobium_orale,Desulfobacterota_I,FALSE,33.9,53.1,NA,NA,NA
G020351775_sp020351775,Gemmatimonadota,FALSE,31.8,44.2,NA,NA,NA
Gemmatimonas_aurantiaca,Gemmatimonadota,FALSE,72.2,42.9,NA,NA,NA
DATFMP01_sp035266845,SAR324,FALSE,75.8,52.3,NA,NA,NA
JADFZZ01_sp015232315,SAR324,FALSE,71.0,50.4,NA,29.5,NA
JAVHLY01_sp031081585,Sysuimicrobiota,FALSE,70.4,45.0,NA,NA,NA
JAUQQG01_sp030550015,Sysuimicrobiota,FALSE,71.9,44.4,NA,NA,NA
JACQIF01_sp016432325,Aenigmatarchaeota,FALSE,32.3,20.3,NA,NA,NA
JAFGFG01_sp020343635,Aenigmatarchaeota,FALSE,30.1,26.9,NA,NA,NA
Calditerrivibrio_nitroreducens,Chrysiogenota,FALSE,74.7,48.6,NA,NA,NA
Desulfurispirillum_indicum,Chrysiogenota,FALSE,78.7,47.9,NA,NA,NA
Pseudothermotoga_B_elfii,Thermotogota,FALSE,69.3,43.2,NA,NA,NA
Thermosipho_melanesiensis,Thermotogota,FALSE,69.2,40.0,NA,NA,NA
Acetomicrobium_flavidum,Synergistota,FALSE,32.1,48.1,NA,NA,NA
DAIPKP01_sp963666395,Synergistota,FALSE,69.9,47.7,NA,NA,NA
JAAEQD01_sp963668625,Zixibacteria,FALSE,72.8,47.1,NA,25.3,NA
G963664195_sp963664195,Zixibacteria,FALSE,72.4,45.5,NA,NA,NA
DYTO01_sp038823825,Hadarchaeota,FALSE,35.3,22.9,NA,NA,NA
WYZ_LMO6_sp038736355,Hadarchaeota,FALSE,33.1,21.6,NA,NA,NA
JAHPYV01_sp037308085,Asgardarchaeota,FALSE,30.0,21.0,NA,NA,NA
Heimdallarchaeum_endolithica,Asgardarchaeota,FALSE,31.5,NA,NA,NA,NA
Pyrohabitans_sp015521615,Hydrothermarchaeota,FALSE,32.2,23.8,NA,NA,NA
Hydrothermarchaeum_profundi,Hydrothermarchaeota,FALSE,34.0,24.6,NA,NA,NA
Fibrobacter_succinogenes,Fibrobacterota,FALSE,72.0,44.4,NA,NA,NA
UBA5070_sp016699655,Fibrobacterota,FALSE,76.5,45.7,NA,30.1,NA
Methanothermobacter_A_sp003584625,Methanobacteriota,FALSE,35.7,23.5,NA,31.6,NA
Methanocatella_smithii,Methanobacteriota,FALSE,34.8,24.1,NA,NA,NA
GCA_020343615_sp020343615,Nanobdellota,FALSE,32.2,22.1,NA,NA,NA
GCA_023898365_sp023898365,Nanobdellota,FALSE,32.9,23.1,NA,NA,NA
LFW_46_sp018897155,EX4484-52,FALSE,32.4,NA,NA,28.0,NA
WAPT01_sp029258795,EX4484-52,FALSE,70.4,26.3,NA,NA,NA
Fermentimicrarchaeum_limneticum,Micrarchaeota,FALSE,32.9,22.6,NA,NA,NA
Micrarchaeum_A_acidiphilum_A,Micrarchaeota,FALSE,40.6,NA,NA,NA,NA
Chlamydia_trachomatis,Chlamydiota,FALSE,67.3,40.3,NA,NA,NA
DAOWHK01_sp964212665,Chlamydiota,FALSE,69.9,39.8,NA,NA,NA
Deinococcus_wulumuqiensis,Deinococcota,FALSE,73.5,37.2,NA,NA,34.7
Oceanithermus_profundus,Deinococcota,FALSE,73.3,40.3,NA,NA,NA
CG2_30_40_21_sp018814245,UBA9089,FALSE,69.8,48.4,NA,NA,NA
JAHJRX01_sp018830565,UBA9089,FALSE,76.3,52.0,NA,NA,NA
Forterrea_multitransposorum,Iainarchaeota,FALSE,31.1,24.4,NA,NA,NA
GW2011_AR10_sp000830275,Iainarchaeota,FALSE,33.2,30.9,NA,NA,NA
JAHISK01_sp020343495,Omnitrophota,FALSE,67.5,48.3,NA,NA,NA
JAHIIS01_sp020341815,Omnitrophota,FALSE,71.1,50.3,NA,NA,NA
Vulcanimicrobium_alpinum,Vulcanimicrobiota,FALSE,75.7,43.1,NA,37.3,NA
